Nickname,Player Details,Final Score,Show Info
Edgar,"Edgar Mihelic, an educator from Chicago, Illinois","$8,398 ","J! Archive - Show #6201, aired 2011-07-25"
Maggie,"Maggie Diamond, a university development writer originally from St. Louis, Missouri","$4,600 ","J! Archive - Show #6201, aired 2011-07-25"
Brian,"Brian McEntee, an academic advisor from Arlington, Virginia (whose 1-day cash winnings total $30,000)","$13,600 ","J! Archive - Show #6200, aired 2011-07-22"
Linda,"Linda Percy, a retired emergency room physician from Connellsville, Pennsylvania","$31,600 ","J! Archive - Show #6200, aired 2011-07-22"
Tim,"Tim Wagner, a graduate student of meteorology from Madison, Wisconsin",$200 ,"J! Archive - Show #6200, aired 2011-07-22"
Mark,"Mark Runsvold, a student and waiter from Moscow, Idaho (whose 4-day cash winnings total $153,800)",$0 ,"J! Archive - Show #6199, aired 2011-07-21"
Samer,"Samer Ismail, a content manager from McKinney, Texas","$3,201 ","J! Archive - Show #6199, aired 2011-07-21"
Brian,"Brian McEntee, an academic advisor from Arlington, Virginia","$30,000 ","J! Archive - Show #6199, aired 2011-07-21"
Mark,"Mark Runsvold, a student and waiter from Moscow, Idaho (whose 3-day cash winnings total $124,201)","$29,599 ","J! Archive - Show #6198, aired 2011-07-20"
Maria,"Maria Boyland, a social studies and English teacher from Rockaway Park, New York","$16,200 ","J! Archive - Show #6198, aired 2011-07-20"
Zac,"Zac Youngblood, a truck driver from Austin, Texas","$22,400 ","J! Archive - Show #6198, aired 2011-07-20"
Mark,"Mark Runsvold, a student and waiter from Moscow, Idaho (whose 2-day cash winnings total $103,000)","$15,100 ","J! Archive - Show #6197, aired 2011-07-19"
Christine,"Christine Janson, a freelance writer and editor from Frederick, Maryland","$17,600 ","J! Archive - Show #6197, aired 2011-07-19"
Tom,"Tom Vaughan, a plastic surgeon from Cape Elizabeth, Maine","$15,600 ","J! Archive - Show #6197, aired 2011-07-19"
Mark,"Mark Runsvold, a student and waiter from Moscow, Idaho (whose 1-day cash winnings total $48,000)","$55,000 ","J! Archive - Show #6196, aired 2011-07-18"
Karawan,"Karawan Meade, a mom and tutor from Wakefield, Massachusetts","$3,400 ","J! Archive - Show #6196, aired 2011-07-18"
Jerry,"Jerry Hou, a freelance orchestra conductor from Rochester, New York","$17,100 ","J! Archive - Show #6196, aired 2011-07-18"
Kathleen,"Kathleen Lee, a pharmaceutical scientist from Palo Alto, California (whose 1-day cash winnings total $29,601)","$2,999 ","J! Archive - Show #6195, aired 2011-07-15"
Mark,"Mark Runsvold, a student and waiter from Moscow, Idaho","$48,000 ","J! Archive - Show #6195, aired 2011-07-15"
Aric,"Aric Wu, an attorney and graduate student from Irvine, California","$9,999 ","J! Archive - Show #6195, aired 2011-07-15"
Paul,"Paul Barbour, an aspiring producer from Baldwinsville, New York (whose 1-day cash winnings total $29,800)","$28,800 ","J! Archive - Show #6194, aired 2011-07-14"
Kathleen,"Kathleen Lee, a pharmaceutical scientist from Palo Alto, California","$29,601 ","J! Archive - Show #6194, aired 2011-07-14"
Janet,"Janet Vigen Levy, a communications professional from St. Louis, Missouri","$18,799 ","J! Archive - Show #6194, aired 2011-07-14"
Damian,"Damian Yu, an executive compensation consultant originally from West Vancouver, Canada (whose 2-day cash winnings total $24,400)","$20,001 ","J! Archive - Show #6193, aired 2011-07-13"
Sarah,"Sarah Powell, a project financial analyst from Baltimore, Maryland","$4,000 ","J! Archive - Show #6193, aired 2011-07-13"
